RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Zion Williamson,Nor,*,F,25.4,10,30.9,29.7,17.6,101,0.723,142,0.521,3,0.0,0.51,0.583,22.1,5.6,4.0,1.6,0.5,3.1,27.7,26.1,31.7,10.2,114.5,117.2
,Alperen Sengun,Hou,*,C,23.4,16,36.6,25.7,16.9,106,0.726,218,0.5,47,0.404,0.519,0.565,22.0,9.4,7.1,1.1,0.9,3.4,31.4,29.1,38.5,12.4,121.6,105.5
,Jalen Johnson,Atl,*,F,24.0,18,34.1,25.4,17.1,93,0.785,208,0.591,64,0.391,0.59,0.63,21.9,9.6,7.3,1.7,0.4,3.1,31.5,29.2,38.8,13.5,120.8,108.8
,Brandon Ingram,Tor,*,F,28.2,20,34.0,27.6,14.5,99,0.838,250,0.54,91,0.308,0.519,0.568,21.9,6.0,3.7,1.1,0.7,2.9,27.8,25.6,31.5,9.3,106.7,109.1
,Shaedon Sharpe,Por,*,G,22.5,15,28.1,32.5,13.4,80,0.8,170,0.553,100,0.25,0.487,0.536,21.8,5.0,2.1,1.3,0.3,2.8,26.8,23.9,28.9,8.7,105.0,113.7
,Paolo Banchero,Orl,*,F,23.0,12,32.8,27.5,15.2,111,0.766,134,0.53,44,0.25,0.492,0.573,21.7,8.7,4.1,0.8,0.9,2.7,30.3,25.8,34.4,11.2,113.7,106.2
,Karl-Anthony Towns,Nyk,*,C-F,30.0,18,33.5,26.2,14.4,124,0.887,182,0.505,97,0.33,0.502,0.585,21.7,12.2,3.4,0.8,0.8,2.6,33.8,25.1,37.2,11.5,121.2,103.2
,Dillon Brooks,Pho,*,G-F,29.9,15,31.3,28.3,11.7,62,0.871,142,0.556,115,0.322,0.523,0.568,21.5,3.2,1.7,1.7,0.1,2.3,24.7,23.3,26.5,6.2,109.8,107.6
,Cam Thomas,Bro,*,G,24.1,8,28.3,32.8,10.8,55,0.873,87,0.425,45,0.356,0.462,0.544,21.3,1.4,2.6,0.5,0.1,2.0,22.6,23.9,25.3,6.0,108.1,122.2
,Zach LaVine,Sac,*,G,30.7,18,33.7,24.1,13.6,67,0.866,143,0.594,129,0.38,0.583,0.622,20.8,3.2,2.4,0.7,0.1,2.4,24.0,23.2,26.4,6.4,110.2,119.3
,Josh Giddey,Chi,*,G,23.1,17,34.0,25.9,18.1,102,0.745,179,0.503,79,0.392,0.529,0.576,20.5,10.0,9.3,0.9,0.4,3.4,30.5,29.8,39.8,14.6,117.4,112.6
,Jimmy Butler,Gol,*,F,36.2,19,31.7,22.3,10.8,153,0.856,184,0.549,39,0.436,0.567,0.661,20.2,5.8,5.2,1.6,0.3,1.4,26.0,25.4,31.2,10.7,141.3,113.5
,Scottie Barnes,Tor,*,F-G,24.3,20,33.5,23.8,13.1,78,0.859,234,0.551,63,0.397,0.561,0.604,20.0,8.1,5.0,1.5,1.6,2.3,28.1,25.0,33.1,11.1,121.4,104.4
,Trey Murphy III,Nor,*,F,25.4,19,35.5,21.5,12.9,70,0.929,125,0.568,151,0.371,0.562,0.611,19.7,6.2,3.2,1.7,0.2,2.2,25.9,22.9,29.1,8.2,119.5,117.6
,Joel Embiid,Phi,*,C-F,31.7,6,23.3,35.4,15.5,35,0.829,59,0.525,28,0.321,0.511,0.576,19.7,5.5,3.3,0.8,1.5,2.7,25.2,23.0,28.5,12.2,112.5,108.8
,Keegan Murray,Sac,*,F,25.3,5,39.3,18.8,1.2,13,0.923,46,0.609,34,0.294,0.538,0.572,19.6,8.0,2.0,1.6,1.0,0.2,27.6,21.6,29.6,6.9,121.6,118.8
,Jalen Duren,Det,*,C,22.0,17,29.1,23.1,19.4,123,0.764,182,0.654,0,0.0,0.654,0.703,19.5,11.8,2.0,0.8,1.1,2.6,31.4,21.5,33.4,10.6,132.2,101.0
,LaMelo Ball,Cha,*,G,24.3,13,29.6,32.4,15.9,52,0.865,118,0.475,114,0.281,0.448,0.496,19.5,6.2,8.5,1.3,0.1,3.4,25.7,27.9,34.2,13.6,107.7,108.6
,RJ Barrett,Tor,*,F-G,25.5,17,30.9,24.1,9.9,80,0.725,150,0.593,87,0.356,0.572,0.604,19.4,4.8,3.8,0.8,0.2,1.5,24.2,23.1,27.9,9.2,119.4,107.8
,Anthony Davis,Dal,*,F-C,32.7,6,29.6,25.8,11.4,31,0.742,73,0.575,12,0.25,0.547,0.588,19.3,9.3,2.7,1.3,1.5,1.8,28.7,22.0,31.3,10.6,118.0,104.8
,Nickeil Alexander-Walker,Atl,*,G,27.2,18,32.0,24.3,13.2,79,0.848,135,0.548,122,0.361,0.545,0.595,19.3,3.1,3.4,0.9,0.9,2.2,22.4,22.7,25.8,7.4,112.5,115.2
,Jerami Grant,Por,*,F,31.7,18,28.7,23.9,14.0,128,0.852,124,0.492,96,0.396,0.536,0.624,19.2,3.5,2.4,0.8,0.4,2.0,22.7,21.6,25.1,7.6,124.4,112.7
,Alexandre Sarr,Was,*,C,20.6,16,29.7,26.5,12.4,59,0.627,189,0.561,52,0.346,0.552,0.568,18.9,8.6,3.3,0.8,2.0,2.1,27.5,22.2,30.8,10.9,112.5,118.6
,Bam Adebayo,Mia,*,C-F,28.4,14,30.4,24.5,11.5,72,0.806,130,0.515,70,0.343,0.515,0.57,18.9,8.5,2.6,0.9,0.8,1.9,27.4,21.4,29.9,9.8,111.6,107.5
,Aaron Gordon,Den,*,F,30.2,13,28.3,22.9,10.4,60,0.867,91,0.593,63,0.444,0.623,0.676,18.8,5.9,1.3,0.8,0.2,1.4,24.7,20.1,26.0,7.4,131.6,111.9
