RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Cedric Coward,Mem,*,G,22.2,20,27.0,19.3,11.9,59,0.864,107,0.533,92,0.37,0.543,0.593,13.4,5.9,2.8,0.7,0.4,1.4,19.3,16.1,22.0,9.0,119.1,110.4
,Anfernee Simons,Bos,*,G,26.5,19,23.8,23.1,11.2,31,0.871,89,0.472,116,0.414,0.556,0.583,13.4,2.3,2.6,0.4,0.2,1.4,15.7,16.0,18.3,7.2,116.3,113.7
,Matas Buzelis,Chi,*,F,21.1,19,27.9,20.3,15.6,49,0.796,114,0.535,86,0.349,0.53,0.566,13.2,5.5,1.4,0.7,1.4,1.9,18.7,14.6,20.2,6.7,103.6,110.9
,Isaiah Joe,Okc,*,G,26.4,15,24.3,19.5,9.4,35,0.914,28,0.607,107,0.402,0.604,0.648,13.0,2.7,1.5,0.7,0.2,0.9,15.7,14.5,17.3,6.2,124.8,103.9
,Anthony Black,Orl,*,G,21.9,20,27.4,20.7,17.3,68,0.676,129,0.55,71,0.338,0.535,0.565,13.0,3.0,2.8,1.5,0.6,2.1,16.0,15.8,18.8,7.0,106.0,106.2
,Naz Reid,Min,*,C-F,26.3,19,24.6,22.4,11.7,25,0.72,105,0.543,105,0.362,0.543,0.557,12.9,5.7,2.0,0.9,1.0,1.5,18.7,14.9,20.7,8.6,110.4,103.9
,Mark Williams,Pho,*,C,24.0,17,25.4,17.4,12.9,58,0.776,135,0.644,0,0.0,0.644,0.682,12.9,9.1,1.1,1.3,0.9,1.2,22.0,13.9,23.1,8.0,137.7,102.9
,Dylan Harper,San,*,G,19.7,8,21.5,24.8,12.2,24,0.833,62,0.516,17,0.353,0.519,0.569,12.8,3.4,3.5,1.1,0.0,1.4,16.1,16.3,19.6,9.9,119.9,103.0
,Harrison Barnes,San,*,F,33.5,18,30.8,14.9,13.3,33,0.879,61,0.639,95,0.432,0.644,0.674,12.8,3.2,2.2,1.1,0.2,1.3,15.9,15.0,18.2,5.8,128.2,111.8
,Saddiq Bey,Nor,*,G-F,26.6,19,28.1,18.5,5.6,51,0.667,97,0.495,106,0.358,0.517,0.541,12.8,5.7,2.2,1.0,0.1,0.6,18.5,15.1,20.7,7.7,120.4,120.6
,Tre Jones,Chi,*,G,25.9,16,28.5,17.3,17.2,76,0.855,108,0.565,22,0.273,0.538,0.627,12.8,3.4,5.0,1.8,0.3,1.7,16.2,17.8,21.2,8.4,126.3,115.2
,Collin Gillespie,Pho,*,G,26.4,21,26.4,19.5,14.8,24,0.833,72,0.458,140,0.429,0.58,0.598,12.7,3.8,5.0,1.2,0.3,1.8,16.5,17.6,21.4,9.4,122.9,114.5
,Malik Monk,Sac,*,G,27.8,17,23.7,21.9,9.2,27,0.889,101,0.475,77,0.416,0.539,0.569,12.7,1.7,1.9,0.8,0.5,1.1,14.4,14.6,16.4,5.8,109.0,119.9
,Myles Turner,Mil,*,C-F,29.7,21,29.7,17.8,10.3,49,0.714,86,0.512,122,0.393,0.558,0.582,12.7,6.3,1.8,1.0,1.7,1.1,19.0,14.5,20.8,7.1,114.3,110.8
,Keldon Johnson,San,*,F-G,26.1,18,24.1,18.6,10.5,43,0.814,106,0.689,47,0.319,0.624,0.657,12.6,6.6,1.8,0.8,0.1,1.0,19.1,14.3,20.9,8.8,134.9,107.1
,Kevin Huerter,Chi,*,G-F,27.3,18,25.1,20.0,11.8,33,0.848,91,0.648,88,0.307,0.556,0.587,12.6,3.4,2.6,0.8,0.8,1.3,16.1,15.2,18.6,7.7,112.6,113.0
,Duncan Robinson,Det,*,F,31.6,20,32.0,14.0,6.8,30,0.767,40,0.575,152,0.401,0.596,0.614,12.6,2.9,2.2,1.0,0.4,0.7,15.5,14.8,17.6,5.4,126.8,111.0
,Dennis Schroder,Sac,*,G,32.2,18,29.2,21.0,14.4,41,0.78,126,0.437,81,0.333,0.461,0.495,12.4,3.7,6.0,0.8,0.2,1.9,16.1,18.4,22.1,8.9,103.6,119.2
,Kel'el Ware,Mia,*,C,21.6,20,24.8,17.9,10.4,40,0.825,132,0.583,49,0.408,0.591,0.622,12.4,10.7,0.6,1.1,1.4,1.1,23.1,12.9,23.6,6.9,127.0,101.6
,Max Christie,Dal,*,G,22.8,21,29.3,15.5,11.7,34,0.794,67,0.522,121,0.446,0.617,0.638,12.3,3.4,2.1,0.5,0.5,1.2,15.7,14.4,17.8,6.1,116.6,112.2
,Brandin Podziemski,Gol,*,G,22.8,21,28.4,18.1,11.2,53,0.755,105,0.486,101,0.386,0.532,0.565,12.3,4.6,3.0,1.2,0.2,1.2,16.9,15.3,19.9,7.8,113.9,108.6
,Moses Moody,Gol,*,G,23.5,19,26.1,19.1,11.7,42,0.857,56,0.429,125,0.392,0.539,0.579,12.2,3.4,1.4,1.1,0.8,1.3,15.5,13.6,16.9,5.9,110.7,109.5
,Isaiah Hartenstein,Okc,*,C-F,27.6,19,27.8,17.1,20.7,50,0.64,145,0.69,4,0.0,0.671,0.678,12.2,10.7,3.4,1.3,0.8,2.1,22.9,15.6,26.3,11.0,132.0,94.0
,Naji Marshall,Dal,*,F,27.8,21,26.9,17.1,12.5,91,0.813,102,0.588,65,0.308,0.539,0.613,12.1,5.2,2.3,1.2,0.1,1.1,17.3,14.4,19.6,7.8,121.5,107.6
,Wendell Carter Jr.,Orl,*,C-F,26.6,19,29.6,15.6,20.4,65,0.815,91,0.571,53,0.453,0.611,0.663,12.1,7.6,2.0,0.6,0.7,1.9,19.7,14.1,21.7,7.7,126.4,102.0
,Noah Clowney,Bro,*,F-C,21.4,19,27.3,19.5,16.6,70,0.8,49,0.551,121,0.331,0.512,0.573,12.1,3.6,1.6,0.7,0.7,1.8,15.7,13.7,17.3,6.0,106.8,117.0
,John Collins,Lac,*,F-C,28.2,20,26.9,19.1,14.5,44,0.818,129,0.581,54,0.333,0.557,0.593,12.0,4.9,0.6,0.7,0.7,1.6,16.9,12.6,17.4,4.9,108.5,114.6
,Tim Hardaway Jr.,Den,*,G-F,33.7,19,24.2,17.2,3.5,29,0.897,55,0.509,112,0.429,0.599,0.629,11.9,1.9,1.3,0.4,0.1,0.3,13.8,13.2,15.2,5.1,131.0,116.6
,Toumani Camara,Por,*,F,25.6,19,33.8,16.0,15.6,24,0.708,81,0.556,130,0.308,0.498,0.512,11.9,5.3,2.7,1.1,0.6,2.1,17.2,14.6,19.9,6.6,105.6,113.8
,D'Angelo Russell,Dal,*,G,29.8,17,21.4,28.2,18.1,56,0.696,97,0.515,84,0.25,0.45,0.491,11.9,2.8,4.8,0.5,0.1,2.4,14.7,16.7,19.5,10.1,97.7,111.0
